FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0060,,,STIX,,2022-09-14 08:54:59,,2022-09-14 08:58:59,,2022-09-14 09:16:15,,2022-09-14 08:58:15,,2022-09-14 09:02:15,,2022-09-14 09:19:31,,2022-09-14 08:49:55,,2022-09-14 08:53:55,,2022-09-14 09:11:11,,M7,,,-160.0,-25.0,,0.608,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220914.png
FLARE0061,,,STIX,,2022-09-14 14:11:19,,2022-09-14 14:33:43,,2022-09-14 15:21:55,,2022-09-14 14:14:37,,2022-09-14 14:37:01,,2022-09-14 15:25:13,,2022-09-14 14:06:17,,2022-09-14 14:28:41,,2022-09-14 15:16:53,,M5,,,-157.0,-24.0,,0.605,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220914.png
FLARE0062,,,GOES/STIX,2022-09-16 09:44:00,2022-09-16 09:31:27,2022-09-16 09:49:00,2022-09-16 09:45:51,2022-09-16 09:56:00,2022-09-16 10:38:47,2022-09-16 09:44:00,2022-09-16 09:34:56,2022-09-16 09:49:00,2022-09-16 09:49:20,2022-09-16 09:56:00,2022-09-16 10:42:16,2022-09-16 09:35:40,2022-09-16 09:26:36,2022-09-16 09:40:40,2022-09-16 09:41:00,2022-09-16 09:47:40,2022-09-16 10:33:56,M7.9,M8,85.0,18.0,82.0,19.0,1.0,0.583,13098.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220916.png
FLARE0063,,,STIX,,2022-09-16 09:46:39,,2022-09-16 09:47:39,,2022-09-16 10:17:55,,2022-09-16 09:50:08,,2022-09-16 09:51:08,,2022-09-16 10:21:24,,2022-09-16 09:41:48,,2022-09-16 09:42:48,,2022-09-16 10:13:04,,M7,,,80.0,19.0,,0.583,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220916.png
FLARE0064,,,GOES/STIX,2022-09-16 15:49:00,2022-09-16 15:45:59,2022-09-16 15:59:00,2022-09-16 15:55:15,2022-09-16 16:12:00,2022-09-16 16:34:43,2022-09-16 15:49:00,2022-09-16 15:49:29,2022-09-16 15:59:00,2022-09-16 15:58:45,2022-09-16 16:12:00,2022-09-16 16:38:13,2022-09-16 15:40:40,2022-09-16 15:41:09,2022-09-16 15:50:40,2022-09-16 15:50:25,2022-09-16 16:03:40,2022-09-16 16:29:53,M6.2,M5,81.0,18.0,80.0,19.0,1.0,0.58,13098.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220916.png
FLARE0065,,,STIX,,2022-09-17 20:05:23,,2022-09-17 20:33:07,,2022-09-17 21:05:35,,2022-09-17 20:09:00,,2022-09-17 20:36:44,,2022-09-17 21:09:12,,2022-09-17 20:00:40,,2022-09-17 20:28:24,,2022-09-17 21:00:52,,M6,,,100.0,19.0,,0.565,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220917.png
FLARE0066,,,STIX,,2022-09-28 23:53:44,,2022-09-29 00:09:36,,2022-09-29 01:29:48,,2022-09-28 23:58:35,,2022-09-29 00:14:27,,2022-09-29 01:34:39,,2022-09-28 23:50:15,,2022-09-29 00:06:07,,2022-09-29 01:26:19,,M5,,,-116.0,21.0,,0.417,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220928.png
FLARE0067,,,STIX,,2022-09-29 11:44:36,,2022-09-29 11:51:36,,2022-09-29 12:51:48,,2022-09-29 11:49:31,,2022-09-29 11:56:31,,2022-09-29 12:56:43,,2022-09-29 11:41:11,,2022-09-29 11:48:11,,2022-09-29 12:48:23,,X1,,,-110.0,23.0,,0.41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220929.png
FLARE0068,,,GOES,2022-10-01 19:58:00,,2022-10-01 20:10:00,,2022-10-01 20:16:00,,2022-10-01 19:58:00,,2022-10-01 20:10:00,,2022-10-01 20:16:00,,2022-10-01 19:49:40,,2022-10-01 20:01:40,,2022-10-01 20:07:40,,M5.8,,36.0,18.0,,,1.0,,13110.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221001.png
FLARE0069,CME0053,,GOES,2022-10-02 02:08:00,,2022-10-02 02:21:00,,2022-10-02 02:26:00,,2022-10-02 02:08:00,,2022-10-02 02:21:00,,2022-10-02 02:26:00,,2022-10-02 01:59:40,,2022-10-02 02:12:40,,2022-10-02 02:17:40,,M8.7,,34.0,16.0,,,1.0,,13110.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221002.png
FLARE0070,CME0054,SEP0047,GOES,2022-10-02 19:53:00,,2022-10-02 20:25:00,,2022-10-02 20:34:00,,2022-10-02 19:53:00,,2022-10-02 20:25:00,,2022-10-02 20:34:00,,2022-10-02 19:44:40,,2022-10-02 20:16:40,,2022-10-02 20:25:40,,X1.0,,49.0,17.0,,,1.0,,13110.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221002.png
FLARE0071,,,GOES,2022-11-06 23:59:00,,2022-11-07 00:11:00,,2022-11-07 00:16:00,,2022-11-06 23:59:00,,2022-11-07 00:11:00,,2022-11-07 00:16:00,,2022-11-06 23:50:40,,2022-11-07 00:02:40,,2022-11-07 00:07:40,,M5.2,,-56.0,12.0,,,1.0,,13141.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221106.png
FLARE0072,,,GOES/STIX,2022-12-14 11:45:00,2022-12-14 11:45:40,2022-12-14 11:59:00,2022-12-14 12:30:00,2022-12-14 12:17:00,2022-12-14 13:10:08,2022-12-14 11:45:00,2022-12-14 11:46:35,2022-12-14 11:59:00,2022-12-14 12:30:55,2022-12-14 12:17:00,2022-12-14 13:11:03,2022-12-14 11:36:40,2022-12-14 11:38:15,2022-12-14 11:50:40,2022-12-14 12:22:35,2022-12-14 12:08:40,2022-12-14 13:02:43,M1.1,M5,42.0,-21.0,46.0,-22.0,1.0,0.89,13165.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221214.png
FLARE0073,,,GOES/STIX,2022-12-14 14:31:00,2022-12-14 14:33:28,2022-12-14 14:42:00,2022-12-14 14:40:16,2022-12-14 14:49:00,2022-12-14 15:15:00,2022-12-14 14:31:00,2022-12-14 14:34:23,2022-12-14 14:42:00,2022-12-14 14:41:11,2022-12-14 14:49:00,2022-12-14 15:15:55,2022-12-14 14:22:40,2022-12-14 14:26:03,2022-12-14 14:33:40,2022-12-14 14:32:51,2022-12-14 14:40:40,2022-12-14 15:07:35,M6.3,M7,49.0,-20.0,47.0,-23.0,1.0,0.89,13165.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221214.png
FLARE0074,,,GOES/STIX,2022-12-15 22:20:00,2022-12-15 22:12:32,2022-12-15 22:40:00,2022-12-15 22:37:20,2022-12-15 22:57:00,2022-12-15 23:21:32,2022-12-15 22:20:00,2022-12-15 22:13:24,2022-12-15 22:40:00,2022-12-15 22:38:12,2022-12-15 22:57:00,2022-12-15 23:22:24,2022-12-15 22:11:40,2022-12-15 22:05:04,2022-12-15 22:31:40,2022-12-15 22:29:52,2022-12-15 22:48:40,2022-12-15 23:14:04,M5.7,M5,61.0,-20.0,70.0,-23.0,1.0,0.896,13165.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221215.png
FLARE0075,,,STIX,,2022-12-27 07:22:24,,2022-12-27 07:29:00,,2022-12-27 08:34:36,,2022-12-27 07:22:56,,2022-12-27 07:29:32,,2022-12-27 08:35:08,,2022-12-27 07:14:36,,2022-12-27 07:21:12,,2022-12-27 08:26:48,,X1,,,-100.0,21.0,,0.936,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221227.png
FLARE0076,,,STIX,,2022-12-27 17:07:36,,2022-12-27 17:13:08,,2022-12-27 17:48:32,,2022-12-27 17:08:07,,2022-12-27 17:13:39,,2022-12-27 17:49:03,,2022-12-27 16:59:47,,2022-12-27 17:05:19,,2022-12-27 17:40:43,,M8,,,-103.0,20.0,,0.937,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221227.png
FLARE0077,,,STIX,,2022-12-28 02:09:16,,2022-12-28 02:47:48,,2022-12-28 03:23:32,,2022-12-28 02:09:47,,2022-12-28 02:48:19,,2022-12-28 03:24:03,,2022-12-28 02:01:27,,2022-12-28 02:39:59,,2022-12-28 03:15:43,,M5,,,-111.0,19.0,,0.938,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221228.png
FLARE0078,CME0073,SEP0051,STIX,,2023-01-03 06:21:00,,2023-01-03 06:29:08,,2023-01-03 07:43:08,,2023-01-03 06:21:25,,2023-01-03 06:29:33,,2023-01-03 07:43:33,,2023-01-03 06:13:05,,2023-01-03 06:21:13,,2023-01-03 07:35:13,,X6,,,-110.0,-18.0,,0.949,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230103.png
FLARE0079,,,GOES/STIX,2023-01-06 00:43:00,2023-01-06 00:47:23,2023-01-06 00:57:00,2023-01-06 00:56:39,2023-01-06 01:07:00,2023-01-06 02:00:31,2023-01-06 00:43:00,2023-01-06 00:47:47,2023-01-06 00:57:00,2023-01-06 00:57:03,2023-01-06 01:07:00,2023-01-06 02:00:55,2023-01-06 00:34:40,2023-01-06 00:39:27,2023-01-06 00:48:40,2023-01-06 00:48:43,2023-01-06 00:58:40,2023-01-06 01:52:35,X1.2,X1,-68.0,-18.0,-79.0,-22.0,1.0,0.952,13182.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230106.png
FLARE0080,,,STIX,,2023-01-09 18:28:16,,2023-01-09 18:50:12,,2023-01-09 19:37:28,,2023-01-09 18:28:39,,2023-01-09 18:50:35,,2023-01-09 19:37:51,,2023-01-09 18:20:19,,2023-01-09 18:42:15,,2023-01-09 19:29:31,,X2,,,-71.0,-15.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230109.png
FLARE0081,,,GOES/STIX,2023-01-09 18:37:00,2023-01-09 18:34:16,2023-01-09 18:50:00,2023-01-09 18:52:44,2023-01-09 18:57:00,2023-01-09 19:37:36,2023-01-09 18:37:00,2023-01-09 18:34:39,2023-01-09 18:50:00,2023-01-09 18:53:07,2023-01-09 18:57:00,2023-01-09 19:37:59,2023-01-09 18:28:40,2023-01-09 18:26:19,2023-01-09 18:41:40,2023-01-09 18:44:47,2023-01-09 18:48:40,2023-01-09 19:29:39,X1.9,X2,-72.0,-14.0,-71.0,-15.0,1.0,0.954,13184.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230109.png
FLARE0082,,,GOES/STIX,2023-01-10 00:09:00,2023-01-10 00:10:16,2023-01-10 00:16:00,2023-01-10 00:15:16,2023-01-10 00:22:00,2023-01-10 00:39:56,2023-01-10 00:09:00,2023-01-10 00:10:39,2023-01-10 00:16:00,2023-01-10 00:15:39,2023-01-10 00:22:00,2023-01-10 00:40:19,2023-01-10 00:00:40,2023-01-10 00:02:19,2023-01-10 00:07:40,2023-01-10 00:07:19,2023-01-10 00:13:40,2023-01-10 00:31:59,M5.1,M7,-80.0,25.0,-75.0,22.0,1.0,0.954,13186.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png
FLARE0083,,,STIX,,2023-01-10 02:11:52,,2023-01-10 02:20:48,,2023-01-10 03:20:44,,2023-01-10 02:12:15,,2023-01-10 02:21:11,,2023-01-10 03:21:07,,2023-01-10 02:03:55,,2023-01-10 02:12:51,,2023-01-10 03:12:47,,M7,,,-113.0,-17.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png
FLARE0084,,,GOES/STIX,2023-01-10 22:39:00,2023-01-10 22:40:04,2023-01-10 22:47:00,2023-01-10 22:46:24,2023-01-10 22:52:00,2023-01-10 23:24:24,2023-01-10 22:39:00,2023-01-10 22:40:27,2023-01-10 22:47:00,2023-01-10 22:46:47,2023-01-10 22:52:00,2023-01-10 23:24:47,2023-01-10 22:30:40,2023-01-10 22:32:07,2023-01-10 22:38:40,2023-01-10 22:38:27,2023-01-10 22:43:40,2023-01-10 23:16:27,X1.0,X1,-66.0,25.0,-61.0,21.0,1.0,0.954,13186.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png
FLARE0085,,,GOES/STIX,2023-01-11 01:49:00,2023-01-11 01:45:40,2023-01-11 01:56:00,2023-01-11 01:55:08,2023-01-11 02:01:00,2023-01-11 02:22:44,2023-01-11 01:49:00,2023-01-11 01:46:03,2023-01-11 01:56:00,2023-01-11 01:55:31,2023-01-11 02:01:00,2023-01-11 02:23:07,2023-01-11 01:40:40,2023-01-11 01:37:43,2023-01-11 01:47:40,2023-01-11 01:47:11,2023-01-11 01:52:40,2023-01-11 02:14:47,M5.6,M9,-21.0,-16.0,-54.0,-16.0,1.0,0.954,13184.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230111.png
FLARE0086,,,STIX,,2023-01-11 08:27:48,,2023-01-11 08:33:00,,2023-01-11 08:57:44,,2023-01-11 08:28:11,,2023-01-11 08:33:23,,2023-01-11 08:58:07,,2023-01-11 08:19:51,,2023-01-11 08:25:03,,2023-01-11 08:49:47,,M6,,,-55.0,21.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230111.png
FLARE0087,,,GOES,2023-01-15 03:08:00,,2023-01-15 03:42:00,,2023-01-15 04:08:00,,2023-01-15 03:08:00,,2023-01-15 03:42:00,,2023-01-15 04:08:00,,2023-01-15 02:59:40,,2023-01-15 03:33:40,,2023-01-15 03:59:40,,M6.0,,-32.0,-23.0,,,1.0,,13191.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230115.png
FLARE0088,,,STIX,,2023-02-07 22:31:36,,2023-02-07 23:06:28,,2023-02-07 23:43:20,,2023-02-07 22:32:34,,2023-02-07 23:07:26,,2023-02-07 23:44:18,,2023-02-07 22:24:14,,2023-02-07 22:59:06,,2023-02-07 23:35:58,,M8,,,-3.0,29.0,,0.884,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230207.png
FLARE0089,,,GOES,2023-02-07 23:05:00,,2023-02-07 23:07:00,,2023-02-07 23:09:00,,2023-02-07 23:05:00,,2023-02-07 23:07:00,,2023-02-07 23:09:00,,2023-02-07 22:56:40,,2023-02-07 22:58:40,,2023-02-07 23:00:40,,M6.3,,-3.0,30.0,,,1.0,,13213.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230207.png
FLARE0090,,,GOES/STIX,2023-02-11 15:40:00,2023-02-11 15:40:07,2023-02-11 15:48:00,2023-02-11 15:47:27,2023-02-11 15:54:00,2023-02-11 16:23:39,2023-02-11 15:40:00,2023-02-11 15:41:15,2023-02-11 15:48:00,2023-02-11 15:48:35,2023-02-11 15:54:00,2023-02-11 16:24:47,2023-02-11 15:31:40,2023-02-11 15:32:55,2023-02-11 15:39:40,2023-02-11 15:40:15,2023-02-11 15:45:40,2023-02-11 16:16:27,X1.1,X1,-39.0,-8.0,-38.0,-12.0,1.0,0.864,13217.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230211.png
FLARE0091,,,STIX,,2023-02-14 02:50:15,,2023-02-14 03:05:19,,2023-02-14 04:22:11,,2023-02-14 02:51:30,,2023-02-14 03:06:34,,2023-02-14 04:23:27,,2023-02-14 02:43:10,,2023-02-14 02:58:14,,2023-02-14 04:15:07,,M6,,,-113.0,24.0,,0.85,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230214.png
FLARE0092,CME0087,SEP0054,GOES,2023-02-17 19:38:00,,2023-02-17 20:16:00,,2023-02-17 20:50:00,,2023-02-17 19:38:00,,2023-02-17 20:16:00,,2023-02-17 20:50:00,,2023-02-17 19:29:40,,2023-02-17 20:07:40,,2023-02-17 20:41:40,,X2.2,,-64.0,25.0,,,1.0,,13229.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230217.png
FLARE0093,CME0087,,STIX,,2023-02-17 19:51:04,,2023-02-17 20:00:36,,2023-02-17 20:01:36,,2023-02-17 19:52:31,,2023-02-17 20:02:03,,2023-02-17 20:03:03,,2023-02-17 19:44:11,,2023-02-17 19:53:43,,2023-02-17 19:54:43,,X1,,,-63.0,24.0,,0.825,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230217.png
FLARE0094,,,GOES/STIX,2023-02-20 14:47:00,2023-02-20 14:37:34,2023-02-20 14:58:00,2023-02-20 14:56:02,2023-02-20 15:03:00,2023-02-20 15:55:26,2023-02-20 14:47:00,2023-02-20 14:39:11,2023-02-20 14:58:00,2023-02-20 14:57:39,2023-02-20 15:03:00,2023-02-20 15:57:03,2023-02-20 14:38:40,2023-02-20 14:30:51,2023-02-20 14:49:40,2023-02-20 14:49:19,2023-02-20 14:54:40,2023-02-20 15:48:43,M4.4,M6,-75.0,25.0,-78.0,24.0,1.0,0.805,13234.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230220.png
FLARE0095,,,STIX,,2023-02-21 10:40:34,,2023-02-21 11:20:18,,2023-02-21 12:06:42,,2023-02-21 10:42:15,,2023-02-21 11:21:59,,2023-02-21 12:08:23,,2023-02-21 10:33:55,,2023-02-21 11:13:39,,2023-02-21 12:00:03,,M5,,,-67.0,24.0,,0.799,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230221.png
FLARE0096,,,GOES/STIX,2023-02-21 19:57:00,2023-02-21 20:04:18,2023-02-21 20:17:00,2023-02-21 20:13:30,2023-02-21 20:30:00,2023-02-21 20:35:26,2023-02-21 19:57:00,2023-02-21 20:06:00,2023-02-21 20:17:00,2023-02-21 20:15:12,2023-02-21 20:30:00,2023-02-21 20:37:08,2023-02-21 19:48:40,2023-02-21 19:57:40,2023-02-21 20:08:40,2023-02-21 20:06:52,2023-02-21 20:21:40,2023-02-21 20:28:48,M5.0,M6,-64.0,26.0,-62.0,25.0,1.0,0.796,13234.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230221.png
FLARE0097,CME0089,SEP0056,GOES,2023-02-25 18:40:00,,2023-02-25 19:44:00,,2023-02-25 20:27:00,,2023-02-25 18:40:00,,2023-02-25 19:44:00,,2023-02-25 20:27:00,,2023-02-25 18:31:40,,2023-02-25 19:35:40,,2023-02-25 20:18:40,,M6.3,,43.0,26.0,,,1.0,,13229.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230225.png
FLARE0098,,,STIX,,2023-02-28 17:35:26,,2023-02-28 17:47:22,,2023-02-28 18:53:38,,2023-02-28 17:37:37,,2023-02-28 17:49:33,,2023-02-28 18:55:49,,2023-02-28 17:29:17,,2023-02-28 17:41:13,,2023-02-28 18:47:29,,M8,,,30.0,27.0,,0.738,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230228.png
FLARE0099,,,GOES/STIX,2023-02-28 17:35:00,2023-02-28 17:40:14,2023-02-28 17:50:00,2023-02-28 17:42:22,2023-02-28 17:56:00,2023-02-28 17:44:18,2023-02-28 17:35:00,2023-02-28 17:42:25,2023-02-28 17:50:00,2023-02-28 17:44:33,2023-02-28 17:56:00,2023-02-28 17:46:29,2023-02-28 17:26:40,2023-02-28 17:34:05,2023-02-28 17:41:40,2023-02-28 17:36:13,2023-02-28 17:47:40,2023-02-28 17:38:09,M8.6,M7,29.0,27.0,31.0,27.0,1.0,0.738,13234.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230228.png
FLARE0100,,,GOES,2023-03-03 17:42:00,,2023-03-03 17:52:00,,2023-03-03 17:59:00,,2023-03-03 17:42:00,,2023-03-03 17:52:00,,2023-03-03 17:59:00,,2023-03-03 17:33:40,,2023-03-03 17:43:40,,2023-03-03 17:50:40,,X2.1,,80.0,22.0,,,1.0,,13234.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230303.png
FLARE0101,,,GOES,2023-03-04 15:19:00,,2023-03-04 15:57:00,,2023-03-04 16:26:00,,2023-03-04 15:19:00,,2023-03-04 15:57:00,,2023-03-04 16:26:00,,2023-03-04 15:10:40,,2023-03-04 15:48:40,,2023-03-04 16:17:40,,M5.2,,87.0,19.0,,,1.0,,13234.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230304.png
FLARE0102,,,GOES/STIX,2023-03-05 21:29:00,2023-03-05 21:26:46,2023-03-05 21:36:00,2023-03-05 21:32:38,2023-03-05 21:41:00,2023-03-05 23:15:26,2023-03-05 21:29:00,2023-03-05 21:29:22,2023-03-05 21:36:00,2023-03-05 21:35:14,2023-03-05 21:41:00,2023-03-05 23:18:02,2023-03-05 21:20:40,2023-03-05 21:21:02,2023-03-05 21:27:40,2023-03-05 21:26:54,2023-03-05 21:32:40,2023-03-05 23:09:42,M5.0,M6,60.0,18.0,58.0,18.0,1.0,0.688,13243.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230305.png
FLARE0103,,,GOES/STIX,2023-03-06 02:08:00,2023-03-06 02:11:04,2023-03-06 02:28:00,2023-03-06 02:22:56,2023-03-06 02:35:00,2023-03-06 03:37:16,2023-03-06 02:08:00,2023-03-06 02:13:42,2023-03-06 02:28:00,2023-03-06 02:25:34,2023-03-06 02:35:00,2023-03-06 03:39:54,2023-03-06 01:59:40,2023-03-06 02:05:22,2023-03-06 02:19:40,2023-03-06 02:17:14,2023-03-06 02:26:40,2023-03-06 03:31:34,M5.8,M5,65.0,19.0,58.0,18.0,1.0,0.686,13243.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230306.png
FLARE0104,,,GOES/STIX,2023-03-29 02:18:00,2023-03-29 02:14:28,2023-03-29 02:33:00,2023-03-29 02:27:44,2023-03-29 02:40:00,2023-03-29 03:20:32,2023-03-29 02:18:00,2023-03-29 02:19:28,2023-03-29 02:33:00,2023-03-29 02:32:44,2023-03-29 02:40:00,2023-03-29 03:25:32,2023-03-29 02:09:40,2023-03-29 02:11:08,2023-03-29 02:24:40,2023-03-29 02:24:24,2023-03-29 02:31:40,2023-03-29 03:17:12,X1.2,M10,59.0,-21.0,61.0,-22.0,1.0,0.399,13256.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230329.png
FLARE0105,,SEP0059,GOES,2023-03-30 07:24:00,,2023-03-30 07:37:00,,2023-03-30 07:43:00,,2023-03-30 07:24:00,,2023-03-30 07:37:00,,2023-03-30 07:43:00,,2023-03-30 07:15:40,,2023-03-30 07:28:40,,2023-03-30 07:34:40,,M5.4,,81.0,-22.0,,,1.0,,13256.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230330.png
FLARE0106,,,GOES,2023-05-01 13:02:00,,2023-05-01 13:09:00,,2023-05-01 13:13:00,,2023-05-01 13:02:00,,2023-05-01 13:09:00,,2023-05-01 13:13:00,,2023-05-01 12:53:40,,2023-05-01 13:00:40,,2023-05-01 13:04:40,,M7.1,,45.0,-24.0,,,1.0,,13288.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230501.png
FLARE0107,,,GOES,2023-05-03 10:36:00,,2023-05-03 10:45:00,,2023-05-03 10:49:00,,2023-05-03 10:36:00,,2023-05-03 10:45:00,,2023-05-03 10:49:00,,2023-05-03 10:27:40,,2023-05-03 10:36:40,,2023-05-03 10:40:40,,M7.2,,-42.0,12.0,,,1.0,,13293.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230503.png
FLARE0108,,,GOES,2023-05-09 03:42:00,,2023-05-09 03:54:00,,2023-05-09 04:05:00,,2023-05-09 03:42:00,,2023-05-09 03:54:00,,2023-05-09 04:05:00,,2023-05-09 03:33:40,,2023-05-09 03:45:40,,2023-05-09 03:56:40,,M6.5,,13.0,12.0,,,1.0,,13296.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230509.png
FLARE0109,,,GOES,2023-05-09 20:32:00,,2023-05-09 20:52:00,,2023-05-09 21:04:00,,2023-05-09 20:32:00,,2023-05-09 20:52:00,,2023-05-09 21:04:00,,2023-05-09 20:23:40,,2023-05-09 20:43:40,,2023-05-09 20:55:40,,M5.0,,35.0,14.0,,,1.0,,13296.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230509.png
FLARE0110,,,STIX,,2023-05-12 04:05:19,,2023-05-12 04:17:43,,2023-05-12 04:44:03,,2023-05-12 04:08:17,,2023-05-12 04:20:41,,2023-05-12 04:47:01,,2023-05-12 03:59:57,,2023-05-12 04:12:21,,2023-05-12 04:38:41,,M5,,,110.0,-10.0,,0.645,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230512.png
FLARE0111,,,STIX,,2023-05-14 11:08:23,,2023-05-14 11:22:43,,2023-05-14 12:20:47,,2023-05-14 11:11:08,,2023-05-14 11:25:28,,2023-05-14 12:23:32,,2023-05-14 11:02:48,,2023-05-14 11:17:08,,2023-05-14 12:15:12,,X1,,,-113.0,-24.0,,0.67,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230514.png
FLARE0112,,,STIX,,2023-05-14 11:08:35,,2023-05-14 11:13:15,,2023-05-14 11:21:51,,2023-05-14 11:11:20,,2023-05-14 11:16:00,,2023-05-14 11:24:36,,2023-05-14 11:03:00,,2023-05-14 11:07:40,,2023-05-14 11:16:16,,M8,,,-113.0,-24.0,,0.67,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230514.png
FLARE0113,,,STIX,,2023-05-14 11:23:31,,2023-05-14 11:24:31,,2023-05-14 12:20:47,,2023-05-14 11:26:16,,2023-05-14 11:27:16,,2023-05-14 12:23:32,,2023-05-14 11:17:56,,2023-05-14 11:18:56,,2023-05-14 12:15:12,,M8,,,-113.0,-24.0,,0.67,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230514.png
